zeit	luftfeuchte	Temperatur	Druck
21:57:38	  000046.7	  000016.2	  000989.0
21:58:38	  000046.7	  000016.2	  000989.0
21:59:38	  000046.7	  000016.2	  000988.9
22:00:38	  000046.7	  000016.1	  000988.9
22:01:38	  000046.7	  000016.2	  000988.9
22:02:38	  000046.7	  000016.2	  000988.9
22:03:38	  000046.7	  000016.2	  000988.9
22:04:38	  000046.7	  000016.2	  000988.8
22:05:38	  000046.7	  000016.2	  000988.7
22:06:38	  000046.7	  000016.2	  000988.7
22:07:38	  000046.7	  000016.2	  000988.8
22:08:38	  000046.7	  000016.2	  000988.7
22:09:38	  000046.7	  000016.2	  000988.7
22:10:38	  000046.7	  000016.2	  000988.5
22:11:38	  000046.7	  000016.2	  000988.6
22:12:38	  000046.7	  000016.2	  000988.5
22:13:38	  000046.7	  000016.2	  000988.5
22:14:38	  000046.7	  000016.2	  000988.5
22:15:38	  000046.7	  000016.2	  000988.5
22:16:38	  000046.7	  000016.2	  000988.5
22:17:38	  000046.7	  000016.1	  000988.5
22:18:38	  000046.7	  000016.2	  000988.4
22:19:38	  000046.7	  000016.2	  000988.4
22:20:38	  000046.7	  000016.2	  000988.4
22:21:38	  000046.7	  000016.2	  000988.5
22:22:38	  000046.7	  000016.2	  000988.5
22:23:38	  000046.7	  000016.2	  000988.2
22:24:38	  000046.7	  000016.2	  000988.3
22:25:38	  000046.7	  000016.2	  000988.2
22:26:38	  000046.7	  000016.2	  000988.3
22:27:38	  000046.7	  000016.1	  000988.3
22:28:38	  000046.7	  000016.2	  000988.2
22:29:38	  000046.7	  000016.2	  000988.2
22:30:38	  000046.7	  000016.2	  000988.1
22:31:38	  000046.7	  000016.2	  000988.2
22:32:38	  000046.7	  000016.2	  000988.1
22:33:38	  000046.7	  000016.2	  000988.2
22:34:38	  000046.7	  000016.2	  000988.2
22:35:38	  000046.7	  000016.1	  000988.2
22:36:38	  000046.7	  000016.2	  000988.1
22:37:38	  000046.7	  000016.2	  000988.2
22:38:38	  000046.7	  000016.2	  000988.1
22:39:38	  000046.7	  000016.2	  000988.0
22:40:38	  000046.7	  000016.2	  000988.0
22:41:38	  000046.7	  000016.2	  000988.1
22:42:38	  000046.7	  000016.2	  000988.0
22:43:38	  000046.7	  000016.2	  000988.0
22:44:38	  000046.7	  000016.2	  000988.0
22:45:38	  000046.7	  000016.2	  000988.0
22:46:38	  000046.7	  000016.2	  000988.0
22:47:38	  000046.7	  000016.2	  000987.9
22:48:38	  000046.7	  000016.1	  000987.9
22:49:38	  000046.7	  000016.2	  000987.9
22:50:38	  000046.7	  000016.2	  000988.0
22:51:38	  000046.7	  000016.2	  000987.9
22:52:38	  000046.7	  000016.2	  000987.9
22:53:38	  000046.7	  000016.2	  000987.8
22:54:38	  000046.7	  000016.2	  000987.9
22:55:38	  000046.7	  000016.2	  000987.8
22:56:38	  000046.7	  000016.2	  000987.7
22:57:38	  000046.7	  000016.2	  000987.7
22:58:38	  000046.7	  000016.1	  000987.6
22:59:38	  000046.7	  000016.1	  000987.6
23:00:38	  000046.7	  000016.2	  000987.6
23:01:38	  000046.7	  000016.1	  000987.6
23:02:38	  000046.7	  000016.1	  000987.5
23:03:38	  000046.7	  000016.2	  000987.5
23:04:38	  000046.7	  000016.1	  000987.5
23:05:38	  000046.7	  000016.1	  000987.5
23:06:38	  000046.7	  000016.1	  000987.4
23:07:38	  000046.7	  000016.1	  000987.4
23:08:38	  000046.7	  000016.1	  000987.3
23:09:38	  000046.7	  000016.1	  000987.4
23:10:38	  000046.7	  000016.1	  000987.4
23:11:38	  000046.7	  000016.1	  000987.4
23:12:38	  000046.7	  000016.1	  000987.4
23:13:38	  000046.7	  000016.1	  000987.3
23:14:38	  000046.7	  000016.1	  000987.1
23:15:38	  000046.7	  000016.1	  000987.2
23:16:38	  000046.7	  000016.1	  000987.1
23:17:38	  000046.7	  000016.1	  000987.2
23:18:38	  000046.7	  000016.1	  000987.1
23:19:38	  000046.7	  000016.1	  000987.0
23:20:38	  000046.7	  000016.1	  000987.1
23:21:38	  000046.7	  000016.1	  000986.9
23:22:38	  000046.7	  000016.1	  000987.0
23:23:38	  000046.7	  000016.1	  000987.1
23:24:38	  000046.7	  000016.1	  000987.0
23:25:38	  000046.7	  000016.1	  000986.9
23:26:38	  000046.7	  000016.1	  000986.9
23:27:38	  000046.7	  000016.1	  000986.9
23:28:38	  000046.7	  000016.2	  000986.9
